Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Wisconsin,US,2020-04-12 23:18:15,44.2685,-89.6165,3341,144,,3197.0,55.0,64.56573888,39257.0,974.0,4.3100868,84000055.0,USA,758.6522632,29.15294822
Wyoming,US,2020-04-12 23:18:15,42.756,-107.3025,270,0,137.0,270.0,56.0,54.29973453,5459.0,40.0,0.0,84000056.0,USA,1097.860188,14.81481481
American Samoa,US,,-14.270999999999999,-170.1322,0,0,,0.0,60.0,0.0,3.0,,,16.0,ASM,5.391707554,
Northern Mariana Islands,US,2020-04-12 23:18:15,15.0979,145.6739,11,2,,9.0,69.0,19.947773100000003,38.0,,18.18181818,580.0,MNP,68.9104889,
Recovered,US,,,,0,0,32988.0,-32988.0,,,,,,84070001.0,USA,,
Virgin Islands,US,,18.3358,-64.8963,51,1,43.0,50.0,,47.54446806,350.0,3.0,1.960784314,850.0,VIR,326.2855651,5.882352941000001
Alabama,US,2020-04-13 23:07:54,32.3182,-86.9023,3734,99,,3635.0,1.0,79.63493333293523,29182.0,457.0,2.6513122656668453,84000001.0,USA,622.3638523089759,12.23888591322978
Alaska,US,2020-04-13 23:07:54,61.3707,-152.4044,277,8,85.0,269.0,2.0,46.34052085407085,7830.0,32.0,2.888086642599278,84000002.0,USA,1309.9143620482844,11.552346570397113
American Samoa,US,,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16.0,ASM,5.3917075537822825,
Arizona,US,2020-04-13 23:07:54,33.7298,-111.4312,3705,122,,3583.0,4.0,50.90182789082197,43347.0,525.0,3.292847503373819,84000004.0,USA,595.5307782951309,14.170040485829961
Arkansas,US,2020-04-13 23:07:54,34.9697,-92.3731,1410,29,391.0,1381.0,5.0,54.46061396810462,20804.0,130.0,2.0567375886524824,84000005.0,USA,803.5451155974812,9.21985815602837
California,US,2020-04-13 23:07:54,36.1162,-119.6816,23931,714,,23217.0,6.0,61.035047905282056,190882.0,3015.0,2.9877564665078773,84000006.0,USA,486.83682312715933,12.59872132380594
Colorado,US,2020-04-13 23:07:54,39.0598,-105.3111,7691,306,,7385.0,8.0,135.7200246417166,37534.0,1472.0,3.9786763749837473,84000008.0,USA,662.3476017295789,19.139253673124433
Connecticut,US,2020-04-13 23:07:54,41.5978,-72.7554,13381,602,,12779.0,9.0,375.31340394195473,44309.0,1760.0,4.498916373963082,84000009.0,USA,1242.7891499337925,13.152978103280773
Delaware,US,2020-04-13 23:07:54,39.3185,-75.5071,1758,41,213.0,1717.0,10.0,180.53655711240089,11820.0,201.0,2.3321956769055747,84000010.0,USA,1213.8464761482248,11.433447098976107
Diamond Princess,US,2020-04-13 23:07:54,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-04-13 23:07:54,38.8974,-77.0268,1955,52,507.0,1903.0,11.0,277.0106652648463,10934.0,295.0,2.659846547314578,84000011.0,USA,1549.2760173942859,15.089514066496164
Florida,US,2020-04-14 00:42:00,27.7663,-81.6868,21019,499,,122520.0,12.0,579.3871934514303,196207.0,2833.0,0.405628398865216,84000012.0,USA,924.083459185368,2.302896300571456
Georgia,US,2020-04-13 23:07:54,33.0406,-83.6431,13315,465,,12850.0,13.0,131.31949811985785,57021.0,2589.0,3.492301915133308,84000013.0,USA,562.3709427181686,19.44423582425836
Grand Princess,US,2020-04-13 23:07:54,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999.0,USA,,
Guam,US,2020-04-13 23:07:54,13.4443,144.7937,133,5,58.0,128.0,66.0,80.9844789897034,905.0,12.0,3.7593984962406015,316.0,GUM,551.0598006442224,9.022556390977444
Hawaii,US,2020-04-13 23:07:54,21.0943,-157.4983,504,9,310.0,495.0,15.0,35.59860035344325,18844.0,44.0,1.7857142857142858,84000015.0,USA,1330.9921132148504,8.730158730158731
Idaho,US,2020-04-13 23:07:54,44.2405,-114.4788,1426,27,,1399.0,16.0,88.54409539415472,14881.0,132.0,1.893408134642356,84000016.0,USA,924.0004793551308,9.256661991584851
Illinois,US,2020-04-13 23:07:54,40.3495,-88.9861,22025,798,,21227.0,17.0,187.6759648568341,105768.0,3680.0,3.623155505107832,84000017.0,USA,901.2536413610727,16.708286038592508
Indiana,US,2020-04-13 23:07:54,39.8494,-86.2583,8359,350,,8009.0,18.0,127.7354471902022,44539.0,,4.187103720540734,84000018.0,USA,680.6088147391332,
Iowa,US,2020-04-13 23:07:54,42.0115,-93.2105,1710,41,741.0,1669.0,19.0,65.249418765046,18696.0,142.0,2.3976608187134505,84000019.0,USA,713.3936451645029,8.304093567251464
Kansas,US,2020-04-13 23:07:54,38.5266,-96.7265,1390,62,,1328.0,20.0,57.00253599771662,13864.0,309.0,4.460431654676259,84000020.0,USA,568.549035303844,22.230215827338128
Kentucky,US,2020-04-13 23:07:54,37.6681,-84.6701,2018,113,607.0,1905.0,21.0,58.948915710937655,25866.0,667.0,5.599603567888999,84000021.0,USA,755.5860524177965,33.052527254707634
Louisiana,US,2020-04-13 23:07:54,31.1695,-91.8678,21016,884,,20132.0,22.0,457.1412661351334,108091.0,2134.0,4.206318995051388,84000022.0,USA,2351.20177949242,10.154168252759805
Maine,US,2020-04-13 23:07:54,44.6939,-69.3819,698,19,273.0,679.0,23.0,59.45455133960132,12306.0,124.0,2.722063037249284,84000023.0,USA,1048.2058865116533,17.76504297994269
Maryland,US,2020-04-13 23:07:54,39.0639,-76.8021,8936,262,603.0,8674.0,24.0,150.3532949093396,51751.0,1975.0,2.9319606087735006,84000024.0,USA,870.7400811160737,22.10161145926589
Massachusetts,US,2020-04-13 23:07:54,42.2302,-71.5301,26867,844,,26023.0,25.0,391.4319997808785,122049.0,2340.0,3.141400230766368,84000025.0,USA,1778.1622116818567,8.709569360181638
Michigan,US,2020-04-13 23:07:54,43.3266,-84.5361,25635,1602,447.0,24033.0,26.0,321.7543197729608,82644.0,3986.0,6.249268578115858,84000026.0,USA,1037.2952605155676,15.549054027696506
Minnesota,US,2020-04-13 23:07:54,45.6945,-93.9002,1621,70,842.0,1551.0,27.0,32.771003666066505,38427.0,361.0,4.318322023442319,84000027.0,USA,776.8608006637493,22.27020357803825
Mississippi,US,2020-04-13 23:07:54,32.7416,-89.6787,2942,98,,2844.0,28.0,101.61625804865007,30984.0,549.0,3.3310673011556764,84000028.0,USA,1070.1829161724588,18.66077498300476
Missouri,US,2020-04-13 23:07:54,38.4561,-92.2884,4515,123,,4392.0,29.0,77.05493479258142,45428.0,988.0,2.724252491694352,84000029.0,USA,775.2938156716256,21.882613510520486
Montana,US,2020-04-13 23:07:54,46.9219,-110.4544,394,7,171.0,387.0,30.0,45.497218780420496,9098.0,47.0,1.7766497461928934,84000030.0,USA,1050.5931382341766,11.928934010152284
Nebraska,US,2020-04-13 23:07:54,41.1254,-98.2681,814,17,,797.0,31.0,53.36753051259054,10972.0,,2.0884520884520885,84000031.0,USA,719.3471066144267,
Nevada,US,2020-04-13 23:07:54,38.3135,-117.0554,2990,114,,2876.0,32.0,99.1150254732245,25464.0,,3.812709030100335,84000032.0,USA,844.1020095820031,
New Hampshire,US,2020-04-13 23:07:54,43.4525,-71.5639,985,23,239.0,962.0,33.0,74.16342154639392,11207.0,152.0,2.3350253807106602,84000033.0,USA,843.8065637263318,15.431472081218276
New Jersey,US,2020-04-13 23:07:54,40.2989,-74.521,64584,2443,,62141.0,34.0,727.1179742833693,129469.0,7781.0,3.7826706304967175,84000034.0,USA,1457.624752454068,12.047875634832153
New Mexico,US,2020-04-13 23:07:54,34.8405,-106.2485,1262,26,295.0,1236.0,35.0,75.68066119231223,30515.0,80.0,2.060221870047544,84000035.0,USA,1829.9487926175973,6.339144215530904
New York,US,2020-04-13 23:07:54,42.1657,-74.9481,195749,10058,23887.0,185691.0,36.0,1160.9555172357552,478357.0,42712.0,5.138212711176047,84000036.0,USA,2837.057652188998,21.819779411389074
North Carolina,US,2020-04-13 23:07:54,35.6301,-79.8064,4886,94,,4792.0,37.0,49.264585407660405,63388.0,313.0,1.9238641015145312,84000037.0,USA,639.1288456448584,6.406058125255831
North Dakota,US,2020-04-13 23:07:54,47.5289,-99.784,331,8,127.0,323.0,38.0,54.58281251545964,10781.0,40.0,2.416918429003021,84000038.0,USA,1777.8166215382792,12.084592145015106
Northern Mariana Islands,US,2020-04-13 23:07:54,15.0979,145.6739,11,2,,9.0,69.0,19.947773103148123,38.0,,18.181818181818183,580.0,MNP,68.91048890178442,
Ohio,US,2020-04-13 23:07:54,40.3888,-82.7649,6975,274,,6701.0,39.0,62.422475312917825,65112.0,2033.0,3.92831541218638,84000039.0,USA,582.7171630931477,29.14695340501792
Oklahoma,US,2020-04-13 23:07:54,35.5653,-96.9289,2069,99,865.0,1970.0,40.0,56.566622029432146,22859.0,457.0,4.784920251329145,84000040.0,USA,624.9668501550457,22.087965200579987
Oregon,US,2020-04-13 23:07:54,44.572,-122.0709,1584,53,,1531.0,41.0,39.530091034006354,31121.0,369.0,3.345959595959596,84000041.0,USA,776.6514918366867,23.29545454545455
Pennsylvania,US,2020-04-13 23:07:54,40.5908,-77.2098,24292,589,,23703.0,42.0,192.985150264584,129792.0,2243.0,2.4246665568911574,84000042.0,USA,1031.1184185386498,9.233492507821506
Puerto Rico,US,2020-04-13 23:07:54,18.2208,-66.5901,903,45,,858.0,72.0,30.783307333995136,6863.0,,4.983388704318936,630.0,PRI,233.9599537466319,
Rhode Island,US,2020-04-13 23:07:54,41.6809,-71.5118,2665,63,135.0,2602.0,44.0,251.56674636880157,20661.0,331.0,2.363977485928705,84000044.0,USA,1950.3266591841686,12.420262664165106
